xltime;trade-price;trade-volume;bid-price;bid-volume;ask-price;ask-volume
2017-01-03 14:38:04.557000-05:00;225.1;200.0;115.66;1;115.68;6
2017-01-03 14:38:08.428000-05:00;225.1;100.0;115.66392857142857;69;115.68321428571429;103
2017-01-03 14:38:10.107000-05:00;225.12;440.0;115.7;6;115.71999999999998;11
2017-01-03 14:38:12.117000-05:00;225.11;500.0;115.71;7;115.72;5
2017-01-03 14:38:12.227000-05:00;225.11;100.0;115.71;7;115.72;6
2017-01-03 14:38:20.586000-05:00;225.07;200.0;115.68999999999998;7;115.7;60
2017-01-03 14:38:22.217000-05:00;225.07;100.0;115.69;21;115.70333333333333;17
2017-01-03 14:38:22.427000-05:00;225.07;200.0;115.69;3;115.7;2
2017-01-03 14:38:22.807000-05:00;225.07000000000002;800.0;115.67615384615384;21;115.70000000000002;62
2017-01-03 14:38:23.126000-05:00;225.065;244.0;115.655;4;115.67;4
2017-01-03 14:38:23.552000-05:00;225.05;100.0;115.63;1;115.64;1
2017-01-03 14:38:28.477000-05:00;225.01;100.0;115.53666666666668;7;115.56;3
2017-01-03 14:38:28.487000-05:00;225.01;1200.0;115.5525;58;115.5675;24
2017-01-03 14:38:30.107000-05:00;225.02;800.0;115.60142857142857;48;115.61666666666666;52
2017-01-03 14:38:30.116000-05:00;225.01;13.0;115.61736842105263;93;115.63157894736842;137
2017-01-03 14:38:30.376000-05:00;225.01;200.0;115.58727272727273;38;115.60181818181817;19
2017-01-03 14:38:31.947000-05:00;225.01;1289.0;115.59;3;115.61;3
2017-01-03 14:38:32.445000-05:00;225.01;500.0;115.6;3;115.61;2
2017-01-03 14:38:33.396000-05:00;225.0;1702.0;115.62;9;115.63;5
2017-01-03 14:38:33.456000-05:00;225.0;52.0;115.58999999999999;27;115.61;58
2017-01-03 14:38:34.496000-05:00;224.97;1200.0;115.54;3;115.56;1
2017-01-03 14:38:35.217000-05:00;224.96;3703.0;115.52;2;115.54;2
2017-01-03 14:38:36.396000-05:00;224.94;800.0;115.52;2;115.54;3
2017-01-03 14:38:39.356000-05:00;224.93999999999997;1600.0;115.47;30;115.4875;29
2017-01-03 14:38:40.436000-05:00;224.95;800.0;115.49;5;115.5;11
2017-01-03 14:38:42.786000-05:00;224.91;137.0;115.29428571428572;17;115.3157142857143;16
2017-01-03 14:38:42.956000-05:00;224.9;21.0;115.25;16;115.27;3
2017-01-03 14:38:44.059000-05:00;224.87875;1100.0;115.24;28;115.25625000000001;24
2017-01-03 14:38:44.156000-05:00;224.88;900.0;115.25;34;115.27000000000001;15
2017-01-03 14:38:44.736000-05:00;224.87;1100.0;115.23;24;115.25;12
2017-01-03 14:38:45.276000-05:00;224.87666666666667;441.0;115.2664705882353;45;115.28588235294119;27
2017-01-03 14:38:45.436000-05:00;224.9;300.0;115.3;13;115.31428571428572;13
2017-01-03 14:38:45.726000-05:00;224.89;105.0;115.29;2;115.31;5
2017-01-03 14:38:45.887000-05:00;224.89;100.0;115.29;3;115.31;2
2017-01-03 14:38:47.178000-05:00;224.93;100.0;115.31;4;115.32;6
2017-01-03 14:38:47.198000-05:00;224.93;2100.0;115.3;16;115.32;6
2017-01-03 14:38:49.646000-05:00;224.95;742.0;115.32;7;115.3425;8
2017-01-03 14:38:52.435000-05:00;224.91;500.0;115.38;5;115.4;20
2017-01-03 14:38:52.436000-05:00;224.91;200.0;115.39000000000001;15;115.4;45
2017-01-03 14:38:52.476000-05:00;224.93285714285713;2041.0;115.41625;12;115.42875000000001;20
2017-01-03 14:38:57.515000-05:00;224.91;2.0;115.38;3;115.4;5
2017-01-03 14:39:01.146000-05:00;224.88;800.0;115.37;32;115.4;56
2017-01-03 14:39:04.058000-05:00;224.86999999999998;1366.0;115.41000000000001;15;115.42333333333333;8
2017-01-03 14:39:11.241000-05:00;224.83;1300.0;115.38;2;115.4;6
2017-01-03 14:39:11.785000-05:00;224.83;1101.0;115.37;3;115.4;8
2017-01-03 14:39:13.606000-05:00;224.8395833333333;5100.0;115.39;3;115.4;14
2017-01-03 14:39:13.815000-05:00;224.84;100.0;115.39;3;115.4;8
2017-01-03 14:39:14.075000-05:00;224.85;100.0;115.32833333333333;23;115.33999999999999;19
2017-01-03 14:39:16.764000-05:00;224.85;247.0;115.2;3;115.22;2
2017-01-03 14:39:19.805000-05:00;224.86999999999998;4595.0;115.26000000000002;10;115.276;8
2017-01-03 14:39:22.715000-05:00;224.87;30.0;115.252;25;115.27466666666666;39
2017-01-03 14:39:34.246000-05:00;224.82;200.0;115.24483870967742;57;115.2683870967742;172
2017-01-03 14:39:34.536000-05:00;224.82000000000002;500.0;115.19444444444444;23;115.22444444444444;12
2017-01-03 14:39:35.884000-05:00;224.83;1.0;115.18;13;115.205;23
2017-01-03 14:39:38.397000-05:00;224.83;300.0;115.16;4;115.18;7
2017-01-03 14:39:39.334000-05:00;224.83;131.0;115.13;11;115.146;10
2017-01-03 14:39:39.367000-05:00;224.82000000000002;500.0;115.12;10;115.14;2
2017-01-03 14:39:39.725000-05:00;224.82;100.0;115.11;2;115.13;5
2017-01-03 14:39:40.124000-05:00;224.83;300.0;115.13;1;115.14;1
2017-01-03 14:39:40.137000-05:00;224.83;800.0;115.13;2;115.14;1
2017-01-03 14:39:40.764000-05:00;224.82000000000002;600.0;115.13;4;115.14;6
2017-01-03 14:39:43.499000-05:00;224.83;300.0;115.17;5;115.18333333333334;6
2017-01-03 14:39:45.436000-05:00;224.8192857142857;4640.0;115.14;2;115.16;1
2017-01-03 14:39:48.608000-05:00;224.83;1253.0;115.15;3;115.16;8
2017-01-03 14:39:49.884000-05:00;224.83285714285716;1711.0;115.16499999999999;55;115.17714285714285;30
2017-01-03 14:39:52.244000-05:00;224.86428571428573;1624.0;115.19;3;115.2;2
2017-01-03 14:39:54.744000-05:00;224.86;200.0;115.18;2;115.2;1
2017-01-03 14:39:55.534000-05:00;224.86;200.0;115.19;3;115.21;8
2017-01-03 14:39:55.624000-05:00;224.87;123.0;115.194;12;115.21599999999998;17
2017-01-03 14:39:57.253000-05:00;224.865;2965.0;115.22;2;115.24;9
2017-01-03 14:40:00.883000-05:00;224.85999999999999;1200.0;115.2;3;115.21999999999998;4
2017-01-03 14:40:01.423000-05:00;224.86;5044.0;115.2;1;115.21;2
2017-01-03 14:40:01.535000-05:00;224.87000000000003;3886.0;115.2;3;115.23;5
2017-01-03 14:40:04.724000-05:00;224.89;400.0;115.16;3;115.18;16
2017-01-03 14:40:11.383000-05:00;224.89900000000003;1200.0;115.14200000000001;45;115.15799999999999;32
2017-01-03 14:40:12.633000-05:00;224.87;450.0;115.03750000000001;4;115.05;55
