xltime,trade-price,trade-volume,bid-price,bid-volume,ask-price,ask-volume
2017-01-03 12:00:32.160000-05:00,225.26,1500.0,225.22,148,225.265,138
2017-01-03 12:00:34.160000-05:00,225.26,100.0,225.26,21,225.27,40
2017-01-03 12:00:35.419000-05:00,225.26,500.0,225.26,16,225.27,40
2017-01-03 12:00:36.559000-05:00,225.26,500.0,225.26,11,225.27,59
2017-01-03 12:00:36.899000-05:00,225.26,500.0,225.26,6,225.27,59
2017-01-03 12:00:44.719000-05:00,225.26,300.0,225.26,3,225.27,59
2017-01-03 12:00:45.039000-05:00,225.24,1500.0,225.22,25,225.27,59
2017-01-03 12:01:02.870000-05:00,225.22,1200.0,225.22,18,225.25,17
2017-01-03 12:01:03.800000-05:00,225.25,1000.0,225.24,110,225.25,7
2017-01-03 12:01:22.549000-05:00,225.25,700.0,225.24,50,225.28,9
2017-01-03 12:01:28.608000-05:00,225.26,60.0,225.246,229,225.296,91
2017-01-03 12:01:28.612000-05:00,225.288,104.0,225.26,88,225.305,41
2017-01-03 12:02:02.801000-05:00,225.3,503.0,225.31,34,225.32,20
2017-01-03 12:02:09.087000-05:00,225.32,2000.0,225.31,39,225.35,1
2017-01-03 12:02:44.066000-05:00,225.33,1000.0,225.33,13,225.35,82
2017-01-03 12:02:57.256000-05:00,225.31,1602.0,225.29,65,225.3,20
2017-01-03 12:02:57.346000-05:00,225.3,2000.0,225.29,168,225.3,40
2017-01-03 12:02:57.356000-05:00,225.30000000000004,3104.0,225.29,252,225.30000000000004,60
2017-01-03 12:02:57.456000-05:00,225.30000000000004,1900.0,225.29,168,225.3,40
2017-01-03 12:02:57.556000-05:00,225.30000000000004,2000.0,225.29,84,225.3,20
2017-01-03 12:03:00.206000-05:00,225.3,1000.0,225.29,168,225.3,40
2017-01-03 12:03:04.256000-05:00,225.3,1500.0,225.29,84,225.3,20
2017-01-03 12:03:06.996000-05:00,225.3,2600.0,225.29,252,225.30000000000004,60
2017-01-03 12:03:09.789000-05:00,225.3,627.0,225.29999999999998,214,225.35,3
2017-01-03 12:03:09.855000-05:00,225.35142857142858,776.0,225.31,59,225.38,33
2017-01-03 12:03:30.335000-05:00,225.33,600.0,225.3,40,225.33,20
2017-01-03 12:03:51.504000-05:00,225.33,1000.0,225.32,68,225.33,22
2017-01-03 12:03:51.514000-05:00,225.33,1000.0,225.32,68,225.33,22
2017-01-03 12:03:51.585000-05:00,225.33,400.0,225.32,68,225.33,20
2017-01-03 12:03:51.594000-05:00,225.33,1801.0,225.32,136,225.33,40
2017-01-03 12:03:51.695000-05:00,225.33,1200.0,225.32,136,225.33,40
2017-01-03 12:03:51.705000-05:00,225.33,801.0,225.32,68,225.33,20
2017-01-03 12:03:52.254000-05:00,225.33,300.0,225.32,68,225.33,20
2017-01-03 12:03:52.825000-05:00,225.33,800.0,225.32,68,225.33,20
2017-01-03 12:04:03.174000-05:00,225.33,2001.0,225.32,28,225.33,20
2017-01-03 12:04:17.433000-05:00,225.33,5000.0,225.32,48,225.33,20
2017-01-03 12:04:25.143000-05:00,225.32,4645.0,225.32,1,225.33,20
2017-01-03 12:04:38.232000-05:00,225.33,300.0,225.32,39,225.33,20
2017-01-03 12:04:50.663000-05:00,225.33,1900.0,225.32,39,225.33,20
2017-01-03 12:04:50.922000-05:00,225.33,200.0,225.32,39,225.33,20
2017-01-03 12:05:03.612000-05:00,225.32,1000.0,225.32,29,225.33,20
2017-01-03 12:05:03.922000-05:00,225.33,500.0,225.32,37,225.33,20
2017-01-03 12:05:11.981000-05:00,225.33,800.0,225.3,20,225.33,20
2017-01-03 12:05:18.952000-05:00,225.33,200.0,225.3,20,225.33,20
2017-01-03 12:05:45.132000-05:00,225.33,10000.0,225.3,20,225.33,20
